DATETIMEDATA,prediction_label,iso_alpha
2024-03-04 23:00:00,21.41600012779236,THA
2024-03-05 23:00:00,21.848000173568725,THA
2024-03-06 23:00:00,21.795000190734864,THA
2024-03-07 23:00:00,21.817000160217287,THA
2024-03-08 23:00:00,21.354000129699703,THA
2024-03-09 23:00:00,21.50100009918213,THA
2024-03-10 23:00:00,21.53800008773804,THA
2024-03-11 23:00:00,21.427000102996825,THA
2024-03-12 23:00:00,21.20200008392334,THA
2024-03-13 23:00:00,21.351000080108644,THA
2024-03-14 23:00:00,21.47900009155273,THA
2024-03-15 23:00:00,20.638000030517578,THA
2024-03-16 23:00:00,20.694999980926514,THA
2024-03-17 23:00:00,20.391000022888186,THA
2024-03-18 23:00:00,19.94200002670288,THA
2024-03-19 23:00:00,16.860123224258423,THA
2024-03-20 23:00:00,17.12512127995491,THA
